Year,Artist,Album
2004,DJ Harry,Tragedy in Blue
2004,DJ Harry,Other Side of You
2004,Daddy Yankee / May-Be,Que Vas A Hacer?
2004,Darden Smith,Mill Creek
2004,David Rose & His Orchestra,One Love
2004,De La Soul / MF Doom,Rock Co.Kane Flow
2004,Dealership,I Don't Want Your Love
2004,Death From Above 1979,Romantic Rights (Jesper Dahlback Remix)
2004,Death From Above 1979,Romantic Rights
2004,Deekline & Wizard,Sun Is Shining
2004,Deepest Blue,Is It A Sin
2004,Deitrick Haddon,Stir The Gift
2004,Dilated Peoples,Big Business
2004,Dilated Peoples,World On Wheels
2004,Dilated Peoples Featuring Devin The Dude,Poisonous (Edited) (Feat. Devin The Dude)
2004,Django Asül,Agenda Zwei Null Eins Null
2004,Django Asül,Pränatalabhärtung
2004,Doug MacLeod,The Sun Shine Down My Way
2004,Elvenking,Pathfinders
2004,Elvenking,A Fiery Stride (Ltd. Edition Bonus)
2004,Eminem,Ricky Ticky Toc
2004,Ensiferum,Into Battle
2004,Eric Burdon,Motorcycle girl
2004,Everyday Sunday,Comfort Zone
2004,Fabolous,In My Hood (Explicit Album Version)
2004,Faithless,Mass Destruction
2004,Faithless,Six
2004,Finntroll,Hel Vete
2004,Finntroll,Grottans Barn
2004,Fontaine Sisters,Silver Bells
2004,Four Tet,I've got Vilking in Me
2004,Frankee,Gotta Man
2004,Fruko Y Sus Tesos,A La Memoria Del Muerto
2004,Future Leaders of the World,Spotlight
2004,George Michael,Amazing
2004,George Michael,Shoot The Dog
2004,Gina V. D'Orio,Naval War
2004,Goldfish,Tracy
2004,Gunther & the Sunshine Girls,Teeny Weeny String Bikini
2004,Gwen Stefani,What You Waiting For?
2004,Gwen Stefani,Harajuku Girls
2004,Halfway to Gone,Turnpike
2004,Halfway to Gone,Black Night
2004,Handsome Boy Modeling School,I've Been Thinking featuring Cat Power (Album Version)
2004,Handsome Boy Modeling School,Rock And Roll (Could Never Hip Hop Like This) Part 2 featuring Lord Finesse_ Mike Shonoda_ Chester Bennington_ Rahzel_ Qbert_ Grand Wizard Theodore & Jazzy Jay (Instrumental)
2004,Harry Gregson-Williams,Sanchez Family
2004,Harry Gregson-Williams,The Ball
2004,Helmet,Everybody Loves You
2004,Hem,Redwing
2004,Hot Chip,Ass Attack (Four Tet Remix)
2004,Hot Tuna,Parchman Farm
2004,Human Disease,Gold Flames Of Angels
2004,Incubus,A Crow Left Of The Murder
2004,Irma Thomas,I'm Gonna Cry Til' My Tears Run Dry
2004,Jack Orsen feat. Fumanschu_ Justus,Getto Boys
2004,Jacques Dutronc,Les Playboys (Version Espagnole)
2004,Jake Hess,So Many Reasons
2004,Jake Hess,I Know Where I Am Now
2004,Janet Jackson Featuring Kanye West,My Baby (Feat. Kanye West)
2004,Jeff Scott Soto,If This Is The End
2004,Jesse Malin,Since You're In Love
2004,Jesse Malin,Going Out West
2004,Jessica Simpson,Take My Breath Away
2004,Jimmy Page,Wailing Sounds
2004,Joe Bonamassa,When She Dances
2004,Joe Lopez,Me Duele
2004,John Williams,Old Man Rocking Chair
2004,Johnny Osbourne,Lend Me Your Chopper
2004,Jope Ruonansuu,Aattelepa ite
2004,Jope Ruonansuu,Aulis Gerlander
2004,Josh Groban,Mi Morena (Revised Live Version)
2004,Juana Molina,j Uh!
2004,Juana Molina,Isabel
2004,Julie Roberts,The Chance
2004,Julie Roberts,Unlove Me
2004,Julie Zenatti,On Efface
2004,Julie Zenatti,Dans Ces Villes
2004,K'Naan,Smile
2004,K-OS,B-Boy Stance
2004,K-OS,Man I Used To Be
2004,K-OS,Clap Ur Handz
2004,KRS-One,Freestyle Ministry (server Verbals)
2004,KT Tunstall,Under The Weather
2004,Kane,My Heart's Desire
2004,Keb' Mo',I'm Amazing
2004,Keira Green,My Heart Goes Up
2004,Kings Of Leon,Day Old Blues
2004,Kristine W.,Save My Soul (Cypher UK Radio Edit)
2004,Krystof,Star
2004,LL Cool J,Headsprung
2004,Les Ogres De Barback,Flamme & co
2004,Lionel Richie,In My Dreams
2004,Lloyd Banks,South Side Story
2004,Lonestar,Somebody's Someone
2004,Lord Sterling,Poison Lips
2004,Los Auténticos Decadentes,Que Vas A Hacer Conmigo
2004,Low Millions,Eleanor
2004,Mando Diao,Annie's Angle
2004,Mando Diao,All My Senses
2004,Marcie Blane,Wer Einmal 'A' Gesagt (What Does A Girl Do?)
2004,Marco Beltrami,Nomads Alive
2004,Marco Beltrami,Franks Plea
2004,Marco Beltrami,1001 Robots
2004,Mastodon,Megalodon
2004,Matisyahu,Exaltation
2004,Matisyahu,Refuge
2004,Mau Mau,Paseo Colòn
2004,Maximilian Hecker,Sleepy Lad
2004,Michael Whalen,A New Heart
2004,Miossec,Désolé Pour La Poussière
2004,Mitch Ryder,Jenny Take a Ride
2004,Mobb Deep,Got It Twisted
2004,Mobb Deep featuring Nate Dogg,Dump
2004,Moments In Grace,Broken Promises (album version)
2004,Moments In Grace,Stratus (EP Version)
2004,Monster Magnet,CNN War Theme
2004,MxPx,Grey Skies Turn Blue
2004,My Chemical Romance,You Know What They Do To Guys Like Us In Prison (Album Version)
2004,My Chemical Romance,Interlude (Album Version)
2004,Múm,Nightly Cares
2004,N.E.R.D.,Don't Worry About It (Edited)
2004,Natasha Bedingfield,These Words
2004,Nightfall,So(u)l Invictus
2004,Nightwish,Kuolema Tekee Taiteilijan
2004,Non Stop DJs,Hoes & Discos
2004,Non Stop DJs,Hydraulic Pimp
2004,Northern State,Last Night
2004,Novaspace,Summer Of Love
2004,Novaspace,Dancing With Tears In My Eyes 2004 (Nova Mix (Club Version))
2004,Obie Bermudez,Celos
2004,Olivia Ruiz,Enervé
2004,Open Hand,The Ambush
2004,Open Hand,Tough Guy
2004,Outerspace,Fire and Ice
2004,Palito Ortega,Corazón Contento
2004,Panzer AG,bereit
2004,Pascal Obispo,La Prétention De Rien
2004,Patton Oswalt,A Brief History of Shitty Comedy
2004,Paul Avgerinos,Song Without End
2004,Paul Avgerinos,In My Heart
2004,Paul Geremia,Tootie Blues
2004,Phantom Planet,After Hours
2004,Phantom Planet,The Meantime
2004,Phantom Planet,Here I Am
2004,Poncho Sanchez,Lip Smacker
2004,Pyranja,Nordcore
2004,R.E.M.,Final Straw (Album Version)
2004,R.L. Burnside,Glory Be
2004,RIDDLIN' KIDS,Stop The World
2004,Regina Belle,If I Ruled The World
2004,Rhian Benson,Say How I Feel
2004,Rhian Sheehan,Untitled
2004,Rise Against,State Of The Union
2004,Rita Chiarelli,Doggin' Around
2004,Rita Chiarelli,Grits Ain't Groceries
2004,Sammi Cheng,Wo Ai Ni_ Zai Jian!
2004,Samy Deluxe,Denk
2004,Sex Pistols,Chatterbox
2004,Shadows Fall,What Drives The Weak
2004,Shifty,EZ Cuz You're Beautiful (Album Version)
2004,Simon & Garfunkel,Citizen Of The Planet
2004,Simple Minds,Chelsea Girl (Live)
2004,Sister Rosetta Tharpe & Marie,Up Above My Head
2004,Skeletonwitch,Within My Blood
2004,Snow Patrol,Half The Fun
2004,Sonia Dersion,Urgence
2004,Stargarden,Trybal
2004,Stimulator,78 Stimulator
2004,Strata,Part One From Triomusic
2004,Strata,Trio (1932)_ Movement 3: Moderato
2004,Suicide,Night Time
2004,Suzi Quatro,Kids Of Tragedy
2004,Sylver,Sympathy
2004,Sylvia Tosun,Head Over Heels
2004,T.I.,Why U Mad At Me (Explicit Screwed Version)
2004,TAKARU,Idnnitkhtr
2004,Taking Back Sunday,I Am Fred Astaire (Album Version)
2004,Tanto Metro & Devonte,Strange Things
2004,Terror Squad / Remy / Prospect / Armageddon,Hum Drum
2004,Tesla,Caught In A Dream
2004,Tex Williams,Wild Card
2004,The Ataris,so long_ astoria
2004,The Crystal Method,Realizer
2004,The Cure,Lost
2004,The Dillinger Escape Plan,Setting Fire to Sleeping Giants
2004,The Frequency,Stop It
2004,The Frequency,Own Me
2004,The Killers,Show You How
2004,The Last Days Of Jesus,Life In Line
2004,The Last Days Of Jesus,Death Song
2004,The Mad Capsule Markets,Loud Up!!
2004,The Pharcyde,Italian For Goodbye (skit)
2004,The Pharcyde,Homegrown
2004,The Pharcyde,Storm
2004,The Pharcyde,The Climb/Paranoia
2004,The Small Knives,The Line
2004,Tiny Bradshaw,Well Oh Well
2004,Trivium,The Deceived
2004,Turisas,Sahti Waari
2004,Twista Featuring Cee-Lo,Hope  (Edited Album Version)
2004,U2,Vertigo
2004,Uphill Battle,Thresh Hold
2004,Usher Featuring The Nu Beginning,Only Human
2004,VHS Or Beta,The Melting Moon (Edit)
2004,VHS Or Beta,New Day Rising
2004,VHS Or Beta,Forever
2004,Vangelis,Preparation
2004,Vulgar Pigeons,O.R.P.
2004,Weezer,Mykel And Carli
2004,Wet Wet Wet,Hear Me Now
2004,Who Made Who,Satisfaction
2004,Wolfmother,Dimension
2004,Wordsworth,Gotta Pay (Produced by Oddisee)
2004,Wordsworth feat. Adanita Ross,Don't Go (Produced by Frequency)
2004,Wyclef Jean,Jean Dominique Intro
2005,30 Seconds To Mars,Hunter
2005,50 Cent / Mobb Deep,Outta Control
2005,A Static Lullaby,God Bless You (Goddamn it)
2005,ATB,Believe In Me (Clubb Mix)
2005,Adam Richman,From The Pain
2005,Aisha Duo,Beneath an Evening Sky
2005,Aisha Duo,Sea_ Subsurface
2005,Alexandre Desplat,Breaking In
2005,Alexisonfire,Mailbox Arson
2005,Alicia Keys,If I Was Your Woman
2005,Alvino Rey And His Orchestra,My Buddy
2005,Alvino Rey And His Orchestra,Steel Guitar Rag
2005,Andreas Dorau,Du Verstehst Mich Nicht
2005,Andy & Lucas,Quiero Ser Tu Sueño
2005,Ann Hampton Callaway,For All We Know
2005,Anthony Cruz,Make it up
2005,Antigone Rising,Don't Look Back (Radio Edit)
2005,Architecture In Helsinki,Need To Shout
2005,Atman,Luminous Bliss
2005,Atomic Rooster,Living Underground
2005,Atomic Rooster,Take It For Granted
2005,BT,Korean Waterhole
2005,BT,Henrys Death
2005,Babylon Disco,Funk You
2005,Becoming The Archetype,Ex Nihilo
2005,Ben Watt feat. Estelle,Pop A Cap In Yo' Ass
2005,Bersuit Vergarabat,Sencillamente
2005,Beyoncé feat. Slim Thug,Check On It
2005,Blackalicious,World Of Vibrations (Album Version)
2005,Blind Boy Fuller,Got To Find My Little Woman
2005,Blue Rodeo,Up On That Cloud
2005,Bobaflex,Turn The Heat Up
2005,Bobaflex,Medicine
2005,Bodies In the Gears of the Apparatus,Xenophobic Hate Machine
2005,Bon Jovi,Wildflower
2005,Bongzilla,Champagne & Reefer
2005,Bongzilla,Cutdown
2005,Bottom Of The Hudson,One of Us
2005,Britney Spears,Someday (I Will Understand)
2005,Broadcast,Michael A Grammar
2005,Brooke Valentine,Taste Of Dis (Explicit Version)
2005,Brooke Valentine,American Girl
2005,Buddy Johnson,Did You See Jackie Robinson Hit That Ball?
2005,Bullet For My Valentine,Suffocating Under Words Of Sorrow (What Can I Do)
2005,Bullet For My Valentine,4 Words (To Choke Upon)
2005,Busdriver,Unemployed Black Astronaut
2005,Busdriver featuring Abstract Rude & Ellay Khule,Map Your Psyche
2005,Bénabar,Christelle Est Une Ordure
2005,Bénabar,Tu Peux Compter Sur Moi
2005,Capleton,Say Yeah
2005,Carlos Nuñez,Quiero Ir Ao Mar
2005,Chase & Status,Ten Tonne
2005,Chase & Status,Trapdoor
2005,Chimaira,Left For Dead (Album Version)
2005,Coldplay,Speed Of Sound (Live)
2005,Coldplay,The World Turned Upside Down
2005,Coldplay,Things I Don't Understand
2005,Cookies,Believe In What I Say
2005,Craig Wedren,Alone in Love
2005,Crematorium,Dying Under A Binary Star
2005,Danny Barnes,Big Girl Blues
2005,Danny Barnes,Cumberland Gap
2005,Dark new Day,Free (Album Version)
2005,Darwin Hobbs,Worshipper's Medley
2005,Dave Eggar,Deep Blue
2005,Dean Martin,Until You Love Someone
2005,Deborah Allen,I Will Always Love You
2005,Deftones,No Ordinary Love (Remastered LP Version)
2005,Dijous Paella,Que Arribi L'Estiu
2005,Djelimady Tounkara,Sarankégni
2005,Dropkick Murphys,The Burden (Album Version)
2005,Eddie Turner,Secret
2005,Eddie Turner,Rise
2005,Eddie Turner,Resurrection
2005,Electronic pig,Electro nicpig
2005,Elvin Bishop,Party Til The Cows Come Home
2005,Elvin Bishop,I'll Be Glad
2005,Entre Ríos,Cerca & Extraño
2005,Entre Ríos,Altas Horas
2005,Eric Demarsan,L'ombre d'une chance
2005,FFH,Great Big Problem
2005,FFH,Listen
2005,Facto Delafe y las flores azules,Enero en la playa (Edit)
2005,Facto Delafe y las flores azules,Lametavolante
2005,Faith Hill,I Want You (Album Version)
2005,Fat Joe,My FoFo  (Album Version - Amended)
2005,Fat Joe,Get It Poppin' [Featuring Nelly]  (Album Version - Exp. Version) [Serban Main 4/20/05]
2005,First Blood,Execution
2005,Foo Fighters,Hell
2005,Foo Fighters,Razor
2005,Foo Fighters,Still
2005,Fort Minor,Introduction (Album Version)
2005,Fort Minor (Featuring Mr. Hahn),Slip Out The Back (Album Version)
2005,Fountains Of Wayne,Janice's Party
2005,Fran Perea,No me imagino
2005,Fran Perea,Entonces
2005,Frank Stokes,It Won't Be Long Now
2005,Frank Stokes,Sweet To Mama
2005,Frankie J,Gone
2005,Franz Ferdinand,Eleanor Put Your Boots On
2005,Franz Ferdinand,Do You Want To
2005,Funeral For A Friend,All The Rage (Clean Album Version)
2005,Fyah Blaze,Lion Paw
2005,Gary Moore,Rockin' Every Night (Live)
2005,Gertrudis,Oye
2005,Ghost Machine,What You Made Me (Ugli)
2005,Gorillaz,White Light
2005,Gorillaz,November Has Come
2005,Gorillaz,Dirty Harry (Single Edit)
2005,Gorillaz,All Alone (Live)
2005,Grayson Capps,I See You
2005,Green Day,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05)
2005,Grupo Batuque,Cavasamba Um (Edit)
2005,Gus Viseur,Le Bal Du P'tit Jardin
2005,Gym Class Heroes,Simple Livin' (Album Version)
2005,Gym Class Heroes,To Bob Ross With Love (Album Version)
2005,HA-ASH,Amor a Medias
2005,Hanoi Rocks,No Comprimise_ No Regrets
2005,Harry Choates,Jolie Blon's Gone
2005,Headliners,Sag Ihnen Bescheid
2005,Hem,Have Yourself A Merry Little Christmas
2005,Hevia,Tirador (Carlos Jean Remix)
2005,Hevia,Baños De Budapest (Extended Remix)
2005,Horace Andy,Musical Episode
2005,Hubert Kah,Raketen
2005,Hysterie,Imagination
2005,I Wayne,Grow Proper
2005,Ill Nino,All I Ask For (Album Version)
2005,In Extremo,Signapur
2005,Jaime Urrutia,Azzurro
2005,Jazzy B,Soorma
2005,Jessie Lee Miller,All or Nothin' Gal
2005,Jimmy Wakely,Mine All Mine
2005,Jimmy Wyble,No More Blues
2005,Joe Bataan,Keep The Change
2005,Joe Bataan,Ernestine
2005,Joe McBride,All In
2005,Joe McBride,One Eyed Jack
2005,Joey Negro,Make A Move On Me
2005,John Debney,Dad Apologizes
2005,John Hammond,Come To Find Out
2005,John Ottman,Entanglement
2005,John Stevens,I Only Have Eyes For You (Album Version)
2005,Johnny Horton,Go And Wash (Those Dirty Feet)
2005,Juelz Santana,There It Go (The Whistle Song)
2005,Juelz Santana,Lil' Boy Fresh
2005,Juelz Santana / Bezel,Violence
2005,Juliette & The Licks,Shelter Your Needs
2005,K.I.Z.,Freiwild
2005,K.I.Z.,Autofokus
2005,KT Tunstall,Boo Hoo
2005,KT Tunstall,Boo Hoo
2005,Kane,All I Can Do
2005,Kanye West,Skit #2 (Kanye West/Late Registration)
2005,Kanye West,Diamonds From Sierra Leone
2005,Kanye West,Skit #2 (Kanye West/Late Registration)
2005,Kanye West / Adam Levine,Heard 'Em Say
2005,Kanye West / Consequence / Cam'Ron,Gone
2005,Kathy Troccoli,You've Got A Friend
2005,Kekele,Affaire Mokuwa
2005,Kooii,Here_ Swing_ Sing
2005,Kyle Riabko,Doesn't Get Much Better
2005,La Portuaria,Down On The Corner
2005,La Portuaria,Hasta El Final
2005,La Portuaria,Explorador
2005,Las Niñas,Castillos Y Sueños
2005,Leeroy Stagger,House Of Sin
2005,Life In Your Way,When Rules Change
2005,Lifehouse,Better Luck Next Time
2005,Luiz Bonfa,Samba De Duas Notas
2005,Luiz Bonfa,Santeleco
2005,Luke Vibert,Gwithian
2005,Lyrics Born,Over You (feat Joyo Velarde_ prod DJ Shadow)
2005,Lyrics Born,I Changed My Mind (DJ Spinna Remix)
2005,M83,Let Men Burn Stars
2005,Ma Rainey,Night Time Blues
2005,Mago de Oz,Desde mi cielo
2005,Manjul,Any Wich Way (Freedom Must Come)
2005,Marcus Miller,Outro Duction
2005,Mariah Carey,Mine Again
2005,Mariano Yanani,Could You Be Love
2005,Mariano Yanani,When We Dance
2005,Mariano Yanani,Why Should I Cry For You
2005,Martha Wainwright,Who Was I Kidding
2005,Martin Sexton,White Christmas
2005,Martina McBride,Thanks A Lot
2005,Martina McBride,I Can't Stop Loving You
2005,Martina McBride,Pick Me Up On Your Way Down
2005,Maximilian Hecker,Full Of Voices
2005,Maximilian Hecker,Birch
2005,Mayday,Dave D. Blues (how To Make It Sting Like A Career) (Album Version)
2005,Memphis Jug Band,Spider's Nest Blues
2005,Mest,Tonight Will Last Forever (Album Version)
2005,Mistress,Shovel
2005,Modeselektor,Tetrispack
2005,Moving Ninja,Lost Tribe
2005,Ms. Dynamite,Mr. Prime Minister
2005,Ms. Dynamite,Unbreakable
2005,Móveis Coloniais de Acaju,Perca peso
2005,Móveis Coloniais de Acaju,Esquilo não samba
2005,Neon Blonde,New Detroit
2005,New Order,Jetstream - Arthur Baker Remix
2005,Nickelback,We Will Rock You
2005,Nickelback,Follow You Home (Album Version)
2005,Nickelback,Savin' Me
2005,No Address,Pretty Girl (Amended Version)
2005,North Mississippi Allstars,Teasin' Brown
2005,O'2L,Little Edith
2005,Oceansize,New Pin (edit)
2005,Olivia Ruiz,Vitrier
2005,Orbital,Farenheit 303
2005,Oztara,La Route Est Belle
2005,Panic! At The Disco,I Constantly Thank God For Esteban (Album Version)
2005,Paul Brown,Old Friends
2005,Paul Brown,Side Steppin'
2005,Pennywise,Yell Out
2005,Pennywise,Lies
2005,Pennywise,6TH Avenue Nightmare
2005,Pepe Kalle,Roger Milla
2005,Peter Gallagher,Everytime It Rains
2005,Precious Bryant,Dark Angel
2005,Pyrolator,Passage To Melilla
2005,Queens Of The Stone Age,I Never Came
2005,Queens Of The Stone Age,This Lullaby
2005,Rachael Starr,Till There Was You (John Creamer & Stephane K Remix)
2005,Rajery,Mahafinaritra
2005,Ramesses,Unholy Outburst #3
2005,Richie Ray & Bobby Cruz,El Gallo Y La Vaca
2005,Rick Astley,Close To You
2005,Rick Astley,Nature Boy
2005,Rihanna,Music Of The Sun
2005,Robin Beanland/Dweezil Zappa/Nile Rodgers/Rabbit In The Moon,Conker The King
2005,SNAP!,"Beauty Queen (12"" Spoon Club Mix)"
2005,Sam Baker,I Can't Stand It
2005,Samy Deluxe,Ain`t got nothing ( feat. David Banner & Eddy Soulo )
2005,Samy Deluxe,Sam und Bo_ N.E.O.
2005,Saosin,Bury Your Head
2005,Saosin,Bury Your Head (Acoustic)
2005,Scarlet's Remains,1492
2005,Seal,Prayer For The Dying (Live In Paris)
2005,Seguridad Social,Soc Mediterrani
2005,Sensations,Superscout
2005,Seventh Day Slumber,Shattered Life
2005,Shelby Lynne,Old Times Sake
2005,Shriekback,Reason With The Beast
2005,Shriekback,The Strongest Wind That Blows
2005,Shy FX & T Power,Feelings
2005,Silverstein,Always And Never (Album Version)
2005,Silverstein,Defend You (Album Version)
2005,Sizzla,Too much informa
2005,Spongebob Squarepants,Ripped Pants
2005,Spunk,Marbles
2005,Static-X,Night Terrors (Album Version)
2005,Stephen Marley,Mind Control
2005,Stevie Ray Vaughan And Double Trouble,Ain't Gone 'N' Give Up On Love
2005,Stevie Ray Vaughan And Double Trouble,Tin Pan Alley (aka Roughest Place In Town)
2005,Story Of The Year,Swallow The Knife (Live) (Segue)
2005,Story Of The Year,Meathead (Album Version) (Non-PA)
2005,Sub Focus,Juno
2005,Suburbs,Monde De Fou
2005,Sugar Ray,Mean Machine (Remastered LP Version)
2005,Symphony in Peril,Inherent Scars
2005,Talking Heads,Two Note Swivel (Unfinished Outtake)
2005,Teenage Fanclub,It's All In My Mind
2005,Test Icicles,What's Your Damage?
2005,Test Icicles,Snowball
2005,The All-American Rejects,Bite Back
2005,The Blind Boys Of Alabama,New Born Soul
2005,The Five Stairsteps,Danger! She's A Stranger
2005,The Fray,She Is
2005,The High Strung,The Luck You Got
2005,The Killers,Mr. Brightside (Jacques Lu Cont's Thin White Duke Mix)
2005,The Mars Volta,Caviglia
2005,The Presets,Are You The One?
2005,The Radio Department,I Don't Like It Like This
2005,The Ruby Suns,Function Of The Sun
2005,The White Stripes,Blue Orchid
2005,Three 6 Mafia,Let's Plan A Robbery
2005,Thrice,Red Sky
2005,Thrice,The Earth Will Shake
2005,Thrice,The Earth Will Shake
2005,Through the Eyes of the Dead,Outro
2005,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell)
2005,Tim Wilson,The Michael Vick Song
2005,Timo Maas,First Day (Album version)
2005,Trick Trick / Eminem,Welcome 2 Detroit
2005,Trick Trick / Eminem,Welcome 2 Detroit
2005,Trick Trick / Obie Trice,War
2005,Tsar,Conqueror Worm
2005,Twista,Had To Call (featuring Snoop Dogg & Sleepy Eyed Jones)  (Explicit Chopped & Screwed Version)
2005,Twista,The Day After (featuring Syleena Johnson) (Explicit Chopped & Screwed Version)
2005,Twista,Girl Tonite (featuring Trey Songz)  (Explicit Chopped & Screwed Version)
